timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.439090824147089,Drainage Area,FB,11,Drainage Area
daily,0.12094753689719234,Drainage Area,FB,11,Drainage Area
hourly,0.5195872021480628,Drainage Area,FB,11,Drainage Area
30mins,0.14791849852449135,Drainage Area,FB,12,Drainage Area
4hr,0.16546494798880124,Drainage Area,FB,12,Drainage Area
daily,0.13403965465882073,Drainage Area,FB,12,Drainage Area
hourly,0.19343571367777632,Drainage Area,FB,12,Drainage Area
30mins,0.504264844907521,Drainage Area,FB,13,Drainage Area
4hr,0.4172199388291361,Drainage Area,FB,13,Drainage Area
daily,0.5051177764294237,Drainage Area,FB,13,Drainage Area
hourly,0.4791114274003213,Drainage Area,FB,13,Drainage Area
30mins,0.7574416108948776,Drainage Area,FB,14,Drainage Area
4hr,0.7330895648072946,Drainage Area,FB,14,Drainage Area
daily,0.5889457151930062,Drainage Area,FB,14,Drainage Area
hourly,0.7463069208192357,Drainage Area,FB,14,Drainage Area
30mins,0.6134924157753474,Drainage Area,FB,15,Drainage Area
4hr,0.34026076627088236,Drainage Area,FB,15,Drainage Area
daily,0.21361101671803512,Drainage Area,FB,15,Drainage Area
hourly,0.5065313573823302,Drainage Area,FB,15,Drainage Area
30mins,0.23339549636806634,Drainage Area,FB,16,Drainage Area
4hr,0.3084240462473368,Drainage Area,FB,16,Drainage Area
daily,0.2533772896778348,Drainage Area,FB,16,Drainage Area
