timescale,pval,comparison,shed,iteration,hierarchy
hourly,0.5743544110414772,Relative Position,W3,68,Relative Position
30mins,0.2735223581470386,Relative Position,W3,69,Relative Position
4hr,0.10911395855697299,Relative Position,W3,69,Relative Position
daily,0.042812784565357344,Relative Position,W3,69,Relative Position
hourly,0.2239606484671423,Relative Position,W3,69,Relative Position
30mins,0.5203612941291154,Relative Position,W3,70,Relative Position
4hr,0.38500989993768286,Relative Position,W3,70,Relative Position
daily,0.10582984585748254,Relative Position,W3,70,Relative Position
hourly,0.47106792872011777,Relative Position,W3,70,Relative Position
30mins,0.5197631505300331,Relative Position,W3,71,Relative Position
4hr,0.39866104401648306,Relative Position,W3,71,Relative Position
daily,0.11638264850451799,Relative Position,W3,71,Relative Position
hourly,0.48562402985822334,Relative Position,W3,71,Relative Position
30mins,0.4836290814924236,Relative Position,W3,72,Relative Position
4hr,0.2805575634641887,Relative Position,W3,72,Relative Position
daily,0.06449203458071612,Relative Position,W3,72,Relative Position
hourly,0.43469253406437647,Relative Position,W3,72,Relative Position
30mins,0.7917338115103971,Relative Position,W3,73,Relative Position
4hr,0.6051023059149699,Relative Position,W3,73,Relative Position
daily,0.4096139006472279,Relative Position,W3,73,Relative Position
hourly,0.7138495808577866,Relative Position,W3,73,Relative Position
30mins,0.5065901306181546,Relative Position,W3,74,Relative Position
4hr,0.39895312903074875,Relative Position,W3,74,Relative Position
daily,0.14869859325138496,Relative Position,W3,74,Relative Position
hourly,0.5080877009644568,Relative Position,W3,74,Relative Position
30mins,0.4136126275928017,Relative Position,W3,75,Relative Position
4hr,0.3033208371409012,Relative Position,W3,75,Relative Position
daily,0.11600117516870372,Relative Position,W3,75,Relative Position
hourly,0.38328858549215994,Relative Position,W3,75,Relative Position
30mins,0.36432391570188905,Relative Position,W3,76,Relative Position
4hr,0.17934251712722452,Relative Position,W3,76,Relative Position
daily,0.08997663109674814,Relative Position,W3,76,Relative Position
hourly,0.3168293673903376,Relative Position,W3,76,Relative Position
30mins,0.2811424023441046,Relative Position,W3,77,Relative Position
4hr,0.15085778576114464,Relative Position,W3,77,Relative Position
daily,0.03952704163121696,Relative Position,W3,77,Relative Position
hourly,0.25093162964982363,Relative Position,W3,77,Relative Position
30mins,0.7513679821348431,Relative Position,W3,78,Relative Position
4hr,0.6218587500896133,Relative Position,W3,78,Relative Position
daily,0.3765206696917578,Relative Position,W3,78,Relative Position
hourly,0.720790224482176,Relative Position,W3,78,Relative Position
30mins,0.5606763945143951,Relative Position,W3,79,Relative Position
4hr,0.39210288898703505,Relative Position,W3,79,Relative Position
daily,0.26810815066382,Relative Position,W3,79,Relative Position
hourly,0.5009985603937044,Relative Position,W3,79,Relative Position
30mins,0.3231843052419511,Relative Position,W3,80,Relative Position
4hr,0.2292200029874951,Relative Position,W3,80,Relative Position
daily,0.058734212586603704,Relative Position,W3,80,Relative Position
hourly,0.27928530076073305,Relative Position,W3,80,Relative Position
30mins,0.1866516881082481,Relative Position,W3,81,Relative Position
4hr,0.12478465181099072,Relative Position,W3,81,Relative Position
daily,0.042609903370427235,Relative Position,W3,81,Relative Position
hourly,0.1720440372825755,Relative Position,W3,81,Relative Position
30mins,0.6737448383568347,Relative Position,W3,82,Relative Position
4hr,0.4971042775277062,Relative Position,W3,82,Relative Position
daily,0.30323292830004756,Relative Position,W3,82,Relative Position
hourly,0.6351983120730232,Relative Position,W3,82,Relative Position
30mins,0.7429676003462632,Relative Position,W3,83,Relative Position
4hr,0.5346061708159136,Relative Position,W3,83,Relative Position
daily,0.2624628002935025,Relative Position,W3,83,Relative Position
hourly,0.6960616899566434,Relative Position,W3,83,Relative Position
30mins,0.35124631266356643,Relative Position,W3,84,Relative Position
4hr,0.2627869492944407,Relative Position,W3,84,Relative Position
daily,0.08157697751633697,Relative Position,W3,84,Relative Position
hourly,0.3215708895296466,Relative Position,W3,84,Relative Position
30mins,0.34744815298455967,Relative Position,W3,85,Relative Position
4hr,0.2190376795654735,Relative Position,W3,85,Relative Position
daily,0.04712671840690099,Relative Position,W3,85,Relative Position
hourly,0.27752626726735674,Relative Position,W3,85,Relative Position
30mins,0.4705703088785164,Relative Position,W3,86,Relative Position
4hr,0.17441646413161627,Relative Position,W3,86,Relative Position
daily,0.027882089932925597,Relative Position,W3,86,Relative Position
hourly,0.4029234107876729,Relative Position,W3,86,Relative Position
30mins,0.5796482681289651,Relative Position,W3,87,Relative Position
4hr,0.4835282885593381,Relative Position,W3,87,Relative Position
daily,0.2130161331701662,Relative Position,W3,87,Relative Position
hourly,0.5589982899323338,Relative Position,W3,87,Relative Position
30mins,0.5960120284154844,Relative Position,W3,88,Relative Position
4hr,0.4295714993079613,Relative Position,W3,88,Relative Position
daily,0.23601672371779167,Relative Position,W3,88,Relative Position
hourly,0.5494995594132833,Relative Position,W3,88,Relative Position
30mins,0.41156644500447825,Relative Position,W3,89,Relative Position
4hr,0.3142537089243989,Relative Position,W3,89,Relative Position
daily,0.12820339919559745,Relative Position,W3,89,Relative Position
hourly,0.3785200277346458,Relative Position,W3,89,Relative Position
30mins,0.6577133128663386,Relative Position,W3,90,Relative Position
4hr,0.5312226015617062,Relative Position,W3,90,Relative Position
daily,0.3064732182880896,Relative Position,W3,90,Relative Position
hourly,0.6084666538330308,Relative Position,W3,90,Relative Position
30mins,0.5266415266330726,Relative Position,W3,91,Relative Position
4hr,0.36620577331376014,Relative Position,W3,91,Relative Position
daily,0.1590133039147849,Relative Position,W3,91,Relative Position
hourly,0.4790401561963754,Relative Position,W3,91,Relative Position
30mins,0.3667767120346648,Relative Position,W3,92,Relative Position
4hr,0.18698054029587086,Relative Position,W3,92,Relative Position
daily,0.03674514955206355,Relative Position,W3,92,Relative Position
hourly,0.2899076144146503,Relative Position,W3,92,Relative Position
30mins,0.2589697122917098,Relative Position,W3,93,Relative Position
4hr,0.1654745779966877,Relative Position,W3,93,Relative Position
daily,0.10440455839015753,Relative Position,W3,93,Relative Position
hourly,0.21668461194562622,Relative Position,W3,93,Relative Position
30mins,0.32068039678197724,Relative Position,W3,94,Relative Position
4hr,0.1741464358704284,Relative Position,W3,94,Relative Position
daily,0.035986774497712856,Relative Position,W3,94,Relative Position
hourly,0.24917984277567604,Relative Position,W3,94,Relative Position
30mins,0.4176160723353897,Relative Position,W3,95,Relative Position
4hr,0.20461586246625657,Relative Position,W3,95,Relative Position
daily,0.08835941999607404,Relative Position,W3,95,Relative Position
hourly,0.38128546952637354,Relative Position,W3,95,Relative Position
30mins,0.6733900683572827,Relative Position,W3,96,Relative Position
4hr,0.5858031876860559,Relative Position,W3,96,Relative Position
daily,0.27525324630372694,Relative Position,W3,96,Relative Position
hourly,0.6368018999661782,Relative Position,W3,96,Relative Position
30mins,0.5394769763413408,Relative Position,W3,97,Relative Position
4hr,0.3213059874266279,Relative Position,W3,97,Relative Position
daily,0.13910917819283491,Relative Position,W3,97,Relative Position
hourly,0.4295736108554589,Relative Position,W3,97,Relative Position
30mins,0.6482875271873247,Relative Position,W3,98,Relative Position
4hr,0.5161723491202568,Relative Position,W3,98,Relative Position
daily,0.4073780521849174,Relative Position,W3,98,Relative Position
hourly,0.6490298547040514,Relative Position,W3,98,Relative Position
