timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.26032248409043746,Relative Position,ZZ,59,Relative Position
daily,0.10227775892514662,Relative Position,ZZ,59,Relative Position
hourly,0.3985585214463383,Relative Position,ZZ,59,Relative Position
30mins,0.356230388549918,Relative Position,ZZ,60,Relative Position
4hr,0.3023523407423411,Relative Position,ZZ,60,Relative Position
daily,0.11012781655732012,Relative Position,ZZ,60,Relative Position
hourly,0.3850420934350104,Relative Position,ZZ,60,Relative Position
30mins,0.40286765706859695,Relative Position,ZZ,61,Relative Position
4hr,0.3252026449997196,Relative Position,ZZ,61,Relative Position
daily,0.12006931018594089,Relative Position,ZZ,61,Relative Position
hourly,0.41599809947923494,Relative Position,ZZ,61,Relative Position
30mins,0.2961835115767625,Relative Position,ZZ,62,Relative Position
4hr,0.40044203713216797,Relative Position,ZZ,62,Relative Position
daily,0.18991940184711126,Relative Position,ZZ,62,Relative Position
hourly,0.28733512322031407,Relative Position,ZZ,62,Relative Position
30mins,0.45092917976466085,Relative Position,ZZ,63,Relative Position
4hr,0.27919899727173814,Relative Position,ZZ,63,Relative Position
daily,0.058205323826663664,Relative Position,ZZ,63,Relative Position
hourly,0.3903805049559771,Relative Position,ZZ,63,Relative Position
30mins,0.42348613103452876,Relative Position,ZZ,64,Relative Position
4hr,0.2351066760944376,Relative Position,ZZ,64,Relative Position
daily,0.049739418797508816,Relative Position,ZZ,64,Relative Position
hourly,0.33937041684500163,Relative Position,ZZ,64,Relative Position
30mins,0.402597463232202,Relative Position,ZZ,65,Relative Position
4hr,0.2900718786083841,Relative Position,ZZ,65,Relative Position
daily,0.05848834287496776,Relative Position,ZZ,65,Relative Position
hourly,0.3898452140369868,Relative Position,ZZ,65,Relative Position
30mins,0.22631677371170425,Relative Position,ZZ,66,Relative Position
4hr,0.1580408783301186,Relative Position,ZZ,66,Relative Position
daily,0.0365739175332376,Relative Position,ZZ,66,Relative Position
hourly,0.20680261117279497,Relative Position,ZZ,66,Relative Position
30mins,0.4447284932993225,Relative Position,ZZ,67,Relative Position
4hr,0.2668066332976545,Relative Position,ZZ,67,Relative Position
daily,0.15770182746077227,Relative Position,ZZ,67,Relative Position
hourly,0.3467968228579108,Relative Position,ZZ,67,Relative Position
30mins,0.45990555159988955,Relative Position,ZZ,68,Relative Position
4hr,0.2988379986954902,Relative Position,ZZ,68,Relative Position
daily,0.1315161093394984,Relative Position,ZZ,68,Relative Position
hourly,0.40543150939332245,Relative Position,ZZ,68,Relative Position
30mins,0.16807868298623024,Relative Position,ZZ,69,Relative Position
4hr,0.16032147422701365,Relative Position,ZZ,69,Relative Position
daily,0.06479938082549873,Relative Position,ZZ,69,Relative Position
hourly,0.15703413357528506,Relative Position,ZZ,69,Relative Position
30mins,0.4322337918194338,Relative Position,ZZ,70,Relative Position
4hr,0.3704796485117756,Relative Position,ZZ,70,Relative Position
daily,0.19660078027004313,Relative Position,ZZ,70,Relative Position
hourly,0.36300462226421276,Relative Position,ZZ,70,Relative Position
30mins,0.5427206393235516,Relative Position,ZZ,71,Relative Position
4hr,0.2606603887876265,Relative Position,ZZ,71,Relative Position
daily,0.11190662621708333,Relative Position,ZZ,71,Relative Position
hourly,0.483745064929049,Relative Position,ZZ,71,Relative Position
30mins,0.14961933461021276,Relative Position,ZZ,72,Relative Position
4hr,0.10669551909928761,Relative Position,ZZ,72,Relative Position
daily,0.1315890191733426,Relative Position,ZZ,72,Relative Position
hourly,0.14663937572048352,Relative Position,ZZ,72,Relative Position
30mins,0.5737839737750582,Relative Position,ZZ,73,Relative Position
4hr,0.45575951957292304,Relative Position,ZZ,73,Relative Position
daily,0.034261476775574264,Relative Position,ZZ,73,Relative Position
hourly,0.5387115501502672,Relative Position,ZZ,73,Relative Position
30mins,0.3533795367947932,Relative Position,ZZ,74,Relative Position
4hr,0.22297528665902575,Relative Position,ZZ,74,Relative Position
daily,0.1139102148579816,Relative Position,ZZ,74,Relative Position
hourly,0.30796868417287837,Relative Position,ZZ,74,Relative Position
30mins,0.1777004485124085,Relative Position,ZZ,75,Relative Position
4hr,0.09507538494713709,Relative Position,ZZ,75,Relative Position
daily,0.02993031419993681,Relative Position,ZZ,75,Relative Position
hourly,0.13809176463156966,Relative Position,ZZ,75,Relative Position
30mins,0.24463547647620235,Relative Position,ZZ,76,Relative Position
4hr,0.12430343491575126,Relative Position,ZZ,76,Relative Position
daily,0.017102036225502527,Relative Position,ZZ,76,Relative Position
hourly,0.2316967274176384,Relative Position,ZZ,76,Relative Position
30mins,0.49152350185727933,Relative Position,ZZ,77,Relative Position
4hr,0.35636023375503534,Relative Position,ZZ,77,Relative Position
daily,0.10649908862808603,Relative Position,ZZ,77,Relative Position
hourly,0.4675171259393418,Relative Position,ZZ,77,Relative Position
30mins,0.5054196763852151,Relative Position,ZZ,78,Relative Position
4hr,0.3170925263694372,Relative Position,ZZ,78,Relative Position
daily,0.1569441974777432,Relative Position,ZZ,78,Relative Position
hourly,0.49055090562006265,Relative Position,ZZ,78,Relative Position
30mins,0.3882424786063176,Relative Position,ZZ,79,Relative Position
4hr,0.2494755153651259,Relative Position,ZZ,79,Relative Position
daily,0.11654638151160954,Relative Position,ZZ,79,Relative Position
hourly,0.38730844156155353,Relative Position,ZZ,79,Relative Position
30mins,0.1769758690493847,Relative Position,ZZ,80,Relative Position
4hr,0.1596404991981834,Relative Position,ZZ,80,Relative Position
daily,0.027332374026961304,Relative Position,ZZ,80,Relative Position
